player_age,player_gender,player_playgames,player_playfrequency,game_variant,score,time,distance_to_enemies_euclidean,distance_to_pellets_euclidean,tile_visits,leftpressed_count,uppressed_count,spacepressed_count,rightpressed_count,downpressed_count,challenge
29.0,1.0,1.0,5.0,6.0,25.0,1.0,0.0,26.0,6.0,25.0,1.0,0.0,26.0,6.0,0
23.0,1.0,1.0,1.0,2.0,29.0,4.0,0.0,29.0,9.0,29.0,4.0,0.0,29.0,9.0,0
23.0,1.0,1.0,1.0,2.0,34.0,3.0,2.0,27.0,10.0,34.0,3.0,2.0,27.0,10.0,1
23.0,1.0,1.0,1.0,3.0,39.0,15.0,0.0,27.0,10.0,39.0,15.0,0.0,27.0,10.0,1
23.0,1.0,1.0,1.0,3.0,31.0,0.0,1.0,27.0,7.0,31.0,0.0,1.0,27.0,7.0,0
23.0,1.0,1.0,1.0,5.0,30.0,1.0,5.0,22.0,7.0,30.0,1.0,5.0,22.0,7.0,0
23.0,1.0,1.0,1.0,5.0,36.0,0.0,0.0,29.0,14.0,36.0,0.0,0.0,29.0,14.0,1
23.0,1.0,1.0,1.0,6.0,26.0,1.0,0.0,28.0,12.0,26.0,1.0,0.0,28.0,12.0,0
23.0,1.0,1.0,1.0,6.0,30.0,1.0,0.0,27.0,12.0,30.0,1.0,0.0,27.0,12.0,1
26.0,1.0,1.0,3.0,2.0,27.0,1.0,0.0,28.0,15.0,27.0,1.0,0.0,28.0,15.0,1
26.0,1.0,1.0,3.0,2.0,30.0,0.0,0.0,31.0,10.0,30.0,0.0,0.0,31.0,10.0,0
26.0,1.0,1.0,3.0,3.0,30.0,0.0,0.0,20.0,15.0,30.0,0.0,0.0,20.0,15.0,0
26.0,1.0,1.0,3.0,3.0,23.0,0.0,0.0,23.0,11.0,23.0,0.0,0.0,23.0,11.0,1
26.0,1.0,1.0,3.0,6.0,22.0,0.0,0.0,35.0,6.0,22.0,0.0,0.0,35.0,6.0,0
26.0,1.0,1.0,3.0,6.0,29.0,0.0,0.0,29.0,11.0,29.0,0.0,0.0,29.0,11.0,1
26.0,1.0,1.0,3.0,5.0,26.0,0.0,0.0,25.0,9.0,26.0,0.0,0.0,25.0,9.0,0
26.0,1.0,1.0,3.0,5.0,29.0,0.0,0.0,30.0,11.0,29.0,0.0,0.0,30.0,11.0,1
30.0,1.0,1.0,3.0,2.0,34.0,0.0,0.0,22.0,7.0,34.0,0.0,0.0,22.0,7.0,0
30.0,1.0,1.0,3.0,2.0,26.0,2.0,0.0,26.0,9.0,26.0,2.0,0.0,26.0,9.0,1
30.0,1.0,1.0,3.0,3.0,31.0,1.0,0.0,25.0,11.0,31.0,1.0,0.0,25.0,11.0,1
30.0,1.0,1.0,3.0,3.0,24.0,5.0,0.0,29.0,14.0,24.0,5.0,0.0,29.0,14.0,0
30.0,1.0,1.0,3.0,7.0,21.0,0.0,2.0,24.0,10.0,21.0,0.0,2.0,24.0,10.0,1
30.0,1.0,1.0,3.0,7.0,27.0,0.0,0.0,27.0,15.0,27.0,0.0,0.0,27.0,15.0,1
30.0,1.0,1.0,3.0,11.0,30.0,0.0,0.0,27.0,10.0,30.0,0.0,0.0,27.0,10.0,0
30.0,1.0,1.0,3.0,11.0,33.0,0.0,0.0,30.0,12.0,33.0,0.0,0.0,30.0,12.0,1
24.0,1.0,1.0,1.0,2.0,37.0,2.0,0.0,31.0,4.0,37.0,2.0,0.0,31.0,4.0,0
